State,Year,Quarter,Brand,Transaction_count,Percentage,Region
Arunachal Pradesh,2021,1,Motorola,2224,0.008852094,North-Eastern Region
Arunachal Pradesh,2021,1,Others,14159,0.056356472,North-Eastern Region
Arunachal Pradesh,2021,2,Vivo,63439,0.234462546,North-Eastern Region
Arunachal Pradesh,2021,2,Xiaomi,61629,0.227773014,North-Eastern Region
Arunachal Pradesh,2021,2,Samsung,51110,0.188896116,North-Eastern Region
Arunachal Pradesh,2021,2,Oppo,42407,0.156730926,North-Eastern Region
Arunachal Pradesh,2021,2,Realme,22481,0.083086942,North-Eastern Region
Arunachal Pradesh,2021,2,Apple,5062,0.018708514,North-Eastern Region
Arunachal Pradesh,2021,2,OnePlus,2622,0.009690581,North-Eastern Region
Arunachal Pradesh,2021,2,Gionee,2510,0.009276644,North-Eastern Region
Arunachal Pradesh,2021,2,Huawei,2408,0.008899664,North-Eastern Region
Arunachal Pradesh,2021,2,Motorola,2229,0.008238103,North-Eastern Region
Arunachal Pradesh,2021,2,Others,14675,0.05423695,North-Eastern Region
Arunachal Pradesh,2021,3,Vivo,69301,0.23646327,North-Eastern Region
Arunachal Pradesh,2021,3,Xiaomi,66832,0.228038748,North-Eastern Region
Arunachal Pradesh,2021,3,Samsung,52621,0.179549123,North-Eastern Region
Arunachal Pradesh,2021,3,Oppo,46021,0.157029136,North-Eastern Region
Arunachal Pradesh,2021,3,Realme,26567,0.09064977,North-Eastern Region
Arunachal Pradesh,2021,3,Apple,5574,0.019019152,North-Eastern Region
Arunachal Pradesh,2021,3,OnePlus,3208,0.010946078,North-Eastern Region
Arunachal Pradesh,2021,3,Gionee,2629,0.008970461,North-Eastern Region
Arunachal Pradesh,2021,3,Huawei,2593,0.008847625,North-Eastern Region
Arunachal Pradesh,2021,3,Motorola,2253,0.007687504,North-Eastern Region
Arunachal Pradesh,2021,3,Others,15474,0.052799132,North-Eastern Region
Arunachal Pradesh,2021,4,Vivo,74157,0.235460907,North-Eastern Region
Arunachal Pradesh,2021,4,Xiaomi,72002,0.228618421,North-Eastern Region
Arunachal Pradesh,2021,4,Samsung,54367,0.17262434,North-Eastern Region
Arunachal Pradesh,2021,4,Oppo,48973,0.155497485,North-Eastern Region
Arunachal Pradesh,2021,4,Realme,31777,0.100897302,North-Eastern Region
Arunachal Pradesh,2021,4,Apple,6342,0.020136913,North-Eastern Region
Arunachal Pradesh,2021,4,OnePlus,3900,0.012383154,North-Eastern Region
Arunachal Pradesh,2021,4,Gionee,2500,0.007937919,North-Eastern Region
Arunachal Pradesh,2021,4,Huawei,2496,0.007925218,North-Eastern Region
Arunachal Pradesh,2021,4,Motorola,2316,0.007353688,North-Eastern Region
Arunachal Pradesh,2021,4,Others,16114,0.051164651,North-Eastern Region
Arunachal Pradesh,2022,1,Vivo,78763,0.234875753,North-Eastern Region
Arunachal Pradesh,2022,1,Xiaomi,75927,0.226418639,North-Eastern Region
Arunachal Pradesh,2022,1,Samsung,56027,0.167075705,North-Eastern Region
Arunachal Pradesh,2022,1,Oppo,52153,0.155523217,North-Eastern Region
Arunachal Pradesh,2022,1,Realme,36430,0.108636335,North-Eastern Region
Arunachal Pradesh,2022,1,Apple,7110,0.021202425,North-Eastern Region
Arunachal Pradesh,2022,1,OnePlus,4423,0.013189638,North-Eastern Region
Arunachal Pradesh,2022,1,Huawei,2515,0.007499873,North-Eastern Region
Arunachal Pradesh,2022,1,Gionee,2482,0.007401465,North-Eastern Region
Arunachal Pradesh,2022,1,Infinix,2358,0.00703169,North-Eastern Region
Arunachal Pradesh,2022,1,Others,17151,0.051145259,North-Eastern Region
Assam,2018,1,Xiaomi,101793,0.264234744,North-Eastern Region
Assam,2018,1,Samsung,61603,0.159909355,North-Eastern Region
Assam,2018,1,Vivo,50781,0.131817556,North-Eastern Region
Assam,2018,1,Oppo,40778,0.105851722,North-Eastern Region
Assam,2018,1,Realme,26387,0.068495498,North-Eastern Region
Assam,2018,1,Lenovo,9294,0.024125409,North-Eastern Region
